compton_LD2_cryo_kapton_hindacore_1  |                root  |compton_LD2_cryo_kapton_hindacore_1  |56.8713872021783*cm 0.13335*cm 67.7764553049207*cm  |                     0*deg -40*deg 0*deg  | 9900CC   |                Tube  |                  0*cm 13.17625*cm 13.81125*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 11 
compton_LD2_cryo_kapton_hindashield_1  |                root  |compton_LD2_cryo_kapton_hindashield_1  |56.8713872021783*cm 0.13335*cm 67.7764553049207*cm  |                     0*deg -40*deg 0*deg  | 990000   |                Tube  |                 13.843*cm 20.6375*cm 15.24*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 12 
compton_LD2_cryo_kapton_leadshield_1  |                root  |compton_LD2_cryo_kapton_leadshield_1  | 42.1772338561658*cm 0.13335*cm 50.264703323926*cm  |                     0*deg -40*deg 0*deg  | 000099   |                Tube  |                       0*cm 21.0363*cm 7.62*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LD2_cryo_kapton_paraffin_1  |compton_LD2_cryo_kapton_leadshield_1  |compton_LD2_cryo_kapton_paraffin_1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 009900   |                Cons  |        0*cm 6.9342*cm 0*cm 8.9281*cm  7.62*cm 0*deg 360*deg  |         G4_PARAFFIN  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LD2_cryo_kapton_hindacore_2  |                root  |compton_LD2_cryo_kapton_hindacore_2  |85.4613235011258*cm 0.13335*cm 22.8990122371232*cm  |                     0*deg -75*deg 0*deg  | 9900CC   |                Tube  |                  0*cm 13.17625*cm 13.81125*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 21 
compton_LD2_cryo_kapton_hindashield_2  |                root  |compton_LD2_cryo_kapton_hindashield_2  |85.4613235011258*cm 0.13335*cm 22.8990122371232*cm  |                     0*deg -75*deg 0*deg  | 990000   |                Tube  |                 13.843*cm 20.6375*cm 15.24*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 22 
compton_LD2_cryo_kapton_leadshield_2  |                root  |compton_LD2_cryo_kapton_leadshield_2  |63.3802410015131*cm 0.13335*cm 16.9824764563393*cm  |                     0*deg -75*deg 0*deg  | 000099   |                Tube  |                       0*cm 21.0363*cm 7.62*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LD2_cryo_kapton_paraffin_2  |compton_LD2_cryo_kapton_leadshield_2  |compton_LD2_cryo_kapton_paraffin_2  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 009900   |                Cons  |        0*cm 6.9342*cm 0*cm 8.9281*cm  7.62*cm 0*deg 360*deg  |         G4_PARAFFIN  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LD2_cryo_kapton_hindacore_3  |                root  |compton_LD2_cryo_kapton_hindacore_3  |83.1401084617882*cm 0.13335*cm -30.260947456451*cm  |                    0*deg -110*deg 0*deg  | 9900CC   |                Tube  |                  0*cm 13.17625*cm 13.81125*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 31 
compton_LD2_cryo_kapton_hindashield_3  |                root  |compton_LD2_cryo_kapton_hindashield_3  |83.1401084617882*cm 0.13335*cm -30.260947456451*cm  |                    0*deg -110*deg 0*deg  | 990000   |                Tube  |                 13.843*cm 20.6375*cm 15.24*cm 0*deg 360*deg  |    G4_SODIUM_IODIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 32 
compton_LD2_cryo_kapton_leadshield_3  |                root  |compton_LD2_cryo_kapton_leadshield_3  |61.658770252144*cm 0.13335*cm -22.4422705400616*cm  |                    0*deg -110*deg 0*deg  | 000099   |                Tube  |                       0*cm 21.0363*cm 7.62*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
